time: 2015-05-18 00:00:04 +0000 unemployed: 285330  job_openings: 10938
time: 2015-05-18 04:00:03 +0000 unemployed: 285330  job_openings: 10708
time: 2015-05-18 08:00:02 +0000 unemployed: 285330  job_openings: 10708
time: 2015-05-18 12:00:02 +0000 unemployed: 285330  job_openings: 10708
time: 2015-05-18 16:00:02 +0000 unemployed: 285330  job_openings: 10708
time: 2015-05-18 20:00:03 +0000 unemployed: 284639  job_openings: 11787
time: 2015-05-19 00:00:02 +0000 unemployed: 284639  job_openings: 11787
time: 2015-05-19 04:00:02 +0000 unemployed: 284639  job_openings: 11472
time: 2015-05-19 08:00:02 +0000 unemployed: 284639  job_openings: 11472
time: 2015-05-19 12:00:02 +0000 unemployed: 284639  job_openings: 11472
time: 2015-05-19 16:00:03 +0000 unemployed: 284639  job_openings: 11472
time: 2015-05-19 20:00:02 +0000 unemployed: 284639  job_openings: 11472
time: 2015-05-20 00:00:02 +0000 unemployed: 283775  job_openings: 11885
time: 2015-05-20 04:00:02 +0000 unemployed: 283775  job_openings: 11885
time: 2015-05-20 08:00:03 +0000 unemployed: 283775  job_openings: 11885
time: 2015-05-20 12:00:02 +0000 unemployed: 283775  job_openings: 11885
time: 2015-05-20 16:00:02 +0000 unemployed: 283775  job_openings: 11885
time: 2015-05-20 20:00:02 +0000 unemployed: 283775  job_openings: 11885
time: 2015-05-21 00:00:03 +0000 unemployed: 283775  job_openings: 11885
time: 2015-05-21 04:00:02 +0000 unemployed: 282330  job_openings: 11564
time: 2015-05-21 08:00:02 +0000 unemployed: 282330  job_openings: 11564
time: 2015-05-21 12:00:02 +0000 unemployed: 282330  job_openings: 11564
time: 2015-05-21 16:00:02 +0000 unemployed: 282330  job_openings: 11564
time: 2015-05-21 20:00:02 +0000 unemployed: 282330  job_openings: 11564
time: 2015-05-22 00:00:02 +0000 unemployed: 282330  job_openings: 11564
time: 2015-05-22 04:00:02 +0000 unemployed: 280780  job_openings: 11673
time: 2015-05-22 08:00:03 +0000 unemployed: 280780  job_openings: 11673
time: 2015-05-22 12:00:02 +0000 unemployed: 280108  job_openings: 12076
time: 2015-05-22 16:00:02 +0000 unemployed: 280108  job_openings: 12076
